#FM Index, Reads to be aligned, Bowtie2 Version, CPU used, Seed search, Remainder, Total, Seed search fraction
WoLr1, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 58.3, 115.7, 174.0, 34%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 58.2, 113.7, 171.9, 34%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 38.7, 82.1, 120.8, 32%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.4.5, Intel_Xeon_Max_9460_40, 33.8, 61.9, 95.7, 35%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.4.5, Intel_Xeon_Max_9460_80_SMT, 20.5, 41.7, 62.2, 33%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 39.0, 117.6, 156.6, 25%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 39.1, 117.6, 156.7, 25%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 29.7, 82.9, 112.6, 26%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.5.0, Intel_Xeon_Max_9460_40, 18.4, 62.6, 81.0, 23%
WoLr1, Song53_24613_host_filtered, bowtie2-v2.5.0, Intel_Xeon_Max_9460_80_SMT, 15.6, 43.9, 59.5, 26%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 51.2, 55.4, 106.6, 48%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 51.1, 54.5, 105.6, 48%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 33.9, 38.5, 72.4, 47%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, Intel_Xeon_Max_9460_40, 30.8, 32.1, 62.9, 49%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, Intel_Xeon_Max_9460_80_SMT, 19.0, 21.9, 40.9, 46%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 33.8, 56.6, 90.4, 37%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 33.6, 56.3, 89.9, 37%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 26.1, 39.3, 65.4, 40%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, Intel_Xeon_Max_9460_40, 16.7, 32.7, 49.4, 34%
WoLr1, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, Intel_Xeon_Max_9460_80_SMT, 13.9, 23.1, 37.0, 38%
WoLr1, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 49.1, 62.8, 111.9, 44%
WoLr1, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 49.0, 61.8, 110.8, 44%
WoLr1, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 32.5, 43.6, 76.1, 43%
